bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
SYNDICATE BANK,2016-10-01,2016,10,October,808976,119492.412,2221786,104143.627,3030762,223636.039,0.14770822867427463,0.04687383348351281,-15348.785000000003
TAMIL NADU STATE APEX CO-OP BANK,2016-10-01,2016,10,October,49683,1719.606,26845,1350.493,76528,3070.099,0.03461155727311153,0.05030705904265226,-369.11300000000006
TAMILNADU MERCANTILE BANK,2016-10-01,2016,10,October,238022,20540.321,336827,22610.159,574849,43150.479999999996,0.0862958928166304,0.06712691975405773,2069.8379999999997
THANE BHARAT SAHAKARI BANK,2016-10-01,2016,10,October,3548,1246.638,11181,817.494,14729,2064.132,0.3513635851183765,0.07311456935873357,-429.1439999999999
THANE DIST CENTRAL CO-OP BANK,2016-10-01,2016,10,October,8039,2319.284,34156,870.517,42195,3189.8010000000004,0.28850404279139197,0.025486503103407894,-1448.767
THANE JANATA SAHAKARI BANK,2016-10-01,2016,10,October,44642,3681.635,95241,5821.871,139883,9503.506000000001,0.08247020742798263,0.061127781102676366,2140.236
A P MAHESH URBAN CO-OP BANK,2016-10-01,2016,10,October,6910,1375.801,11088,834.906,17998,2210.707,0.19910289435600578,0.07529816017316017,-540.895
AP STATE CO-OP BANK,2016-10-01,2016,10,October,21668,1167.288,35898,2881.719,57566,4049.007,0.05387151559904006,0.08027519638977101,1714.431
GUJARAT STATE CO-OP BANK,2016-10-01,2016,10,October,21118,1880.088,46847,4608.969,67965,6489.057,0.08902774883985226,0.09838343970798558,2728.8810000000003
HASTI CO-OP BANK,2016-10-01,2016,10,October,1930,117.127,738,51.035,2668,168.16199999999998,0.060687564766839376,0.0691531165311653,-66.092
KANGRA CENTRAL CO-OP BANK,2016-10-01,2016,10,October,19555,749.629,27303,1197.956,46858,1947.585,0.03833439018153925,0.04387635058418488,448.3269999999999
KANGRA CO-OP BANK,2016-10-01,2016,10,October,1897,389.491,6602,185.564,8499,575.055,0.20531945176594624,0.02810724023023326,-203.927
NASIK MERCHANTS CO-OP BANK,2016-10-01,2016,10,October,8857,547.271,10222,868.593,19079,1415.864,0.061789657897708024,0.08497290158481706,321.322
PANDHARPUR URBAN CO-OP BANK,2016-10-01,2016,10,October,1078,75.205,351,105.627,1429,180.832,0.0697634508348794,0.3009316239316239,30.421999999999997
RAJASTHAN STATE CO-OP BANK,2016-10-01,2016,10,October,10993,529.964,202793,690.021,213786,1219.9850000000001,0.04820922405166925,0.00340258786052773,160.0569999999999
ROYAL BANK OF SCOTLAND N.V,2016-10-01,2016,10,October,5592,1262.434,4516,546.686,10108,1809.12,0.2257571530758226,0.12105535872453499,-715.7479999999999
SAHEBRAO DESHMUKH CO-OP BANK,2016-10-01,2016,10,October,2451,202.612,5699,308.228,8150,510.84000000000003,0.08266503467972255,0.05408457624144587,105.61600000000001
VARACHHA CO-OP BANK,2016-10-01,2016,10,October,5742,1484.753,19930,1010.595,25672,2495.348,0.2585776732845698,0.05070722528850979,-474.1579999999999
VISHWESHWAR SAHAKARI BANK,2016-10-01,2016,10,October,5740,601.38,10267,662.332,16007,1263.712,0.10477003484320557,0.0645107626375767,60.952
ZOROASTRIAN CO-OP BANK,2016-10-01,2016,10,October,2567,188.008,3659,554.06,6226,742.068,0.07324035839501364,0.15142388630773435,366.0519999999999
TUMKUR GRAIN MERCHANTS CO-OP BANK,2016-10-01,2016,10,October,2594,147.799,1968,216.267,4562,364.06600000000003,0.05697725520431766,0.10989176829268292,68.46799999999999
GADCHIROLI DIST CO-OP BANK,2016-10-01,2016,10,October,3366,73.32,17822,379.679,21188,452.99899999999997,0.0217825311942959,0.021303950173942317,306.359
UCO BANK,2016-10-01,2016,10,October,552563,45560.877,1981615,68510.017,2534178,114070.894,0.08245372382877608,0.034572819139943936,22949.140000000007
UNION BANK OF INDIA,2016-10-01,2016,10,October,1763287,153490.723,3909405,219585.327,5672692,373076.05,0.08704806591326313,0.05616847755604753,66094.60399999999
UNITED BANK OF INDIA,2016-10-01,2016,10,October,745432,38570.326,2095903,55627.455,2841335,94197.781,0.05174224610695543,0.026541044599869366,17057.129
UNITED OVERSEAS BANK,2016-10-01,2016,10,October,98,59.899,94,95.865,192,155.764,0.6112142857142857,1.019840425531915,35.965999999999994
VASAI VIKAS SAHAKARI BANK,2016-10-01,2016,10,October,2626,174.995,7753,358.349,10379,533.344,0.06663937547600914,0.046220688765639104,183.35399999999998
VIJAYA BANK,2016-10-01,2016,10,October,321809,33466.055,1061486,61092.28,1383295,94558.33499999999,0.10399353343132106,0.057553542863495136,27626.225
WEST BENGAL STATE CO-OP BANK,2016-10-01,2016,10,October,19349,532.268,135444,3509.454,154793,4041.722,0.027508811824900514,0.025910738017187917,2977.186
WESTPAC BANKING CORP,2016-10-01,2016,10,October,244,29.456,21,2.492,265,31.948,0.12072131147540983,0.11866666666666667,-26.964
WOORI BANK,2016-10-01,2016,10,October,1788,658.825,259,754.868,2047,1413.6930000000002,0.36847035794183447,2.9145482625482626,96.043
YES BANK,2016-10-01,2016,10,October,4884816,162819.784,1085375,188471.795,5970191,351291.579,0.03333181515946558,0.17364670735920765,25652.011
ZILA SAHKARI BANK GHAZIABAD,2016-10-01,2016,10,October,1046,60.59,9337,132.228,10383,192.818,0.05792543021032505,0.014161722180571918,71.638
ABHYUDAYA CO-OP BANK,2016-11-01,2016,11,November,54567,2730.172,122321,4179.027,176888,6909.1990000000005,0.050033390144226364,0.03416442802135365,1448.855
ABU DHABI COMMERCIAL BANK,2016-11-01,2016,11,November,2787,2034.913,680,363.773,3467,2398.686,0.7301445999282382,0.5349602941176471,-1671.1399999999999
AHMEDABAD MERCANTILE CO-OP BANK,2016-11-01,2016,11,November,4883,432.11,15176,830.842,20059,1262.952,0.08849272987917264,0.054747100685292566,398.73199999999997
AIRTEL PAYMENTS BANK,2016-11-01,2016,11,November,19,0.878,36,0.009,55,0.887,0.04621052631578947,0.00025,-0.869
AKOLA DIST CENTRAL CO-OP BANK,2016-11-01,2016,11,November,6482,401.749,3837,125.596,10319,527.345,0.06197917309472385,0.03273286421683607,-276.153
ALLAHABAD BANK,2016-11-01,2016,11,November,956614,75693.634,2022743,84518.569,2979357,160212.203,0.07912662160495247,0.04178413619525565,8824.934999999998
ALMORA URBAN CO-OP BANK,2016-11-01,2016,11,November,9102,513.445,8805,323.774,17907,837.219,0.05641012964183696,0.03677160704145372,-189.67100000000005
ANDHRA BANK,2016-11-01,2016,11,November,697079,77898.059,2313514,94085.317,3010593,171983.376,0.11174925510594924,0.04066771024510766,16187.258000000002
ANDHRA PRAGATHI GRAMEENA BANK,2016-11-01,2016,11,November,46024,3849.167,73945,1684.265,119969,5533.432,0.08363390839561967,0.02277726688755156,-2164.902
ANZ BANKING GROUP,2016-11-01,2016,11,November,25313,7459.765,2937,4196.628,28250,11656.393,0.29470094417888043,1.4288825331971398,-3263.1370000000006
APANA SAHAKARI BANK,2016-11-01,2016,11,November,8832,578.152,22569,993.222,31401,1571.374,0.06546105072463769,0.044008241393061275,415.06999999999994
AXIS BANK,2016-11-01,2016,11,November,14518712,677749.987,5756040,508386.614,20274752,1186136.601,0.04668113721106941,0.08832228650252605,-169363.37299999996
AKOLA JANATA COMMERCIAL CO-OP BANK,2016-11-01,2016,11,November,5710,620.762,4738,525.587,10448,1146.349,0.10871488616462346,0.1109301392992824,-95.17499999999995
BANK N PARIBAS,2016-11-01,2016,11,November,309223,88949.822,108586,90565.531,417809,179515.353,0.28765590528518253,0.8340442690586264,1615.7090000000026
BANDHAN BANK,2016-11-01,2016,11,November,95091,4803.524,55901,5625.951,150992,10429.475,0.05051502245217739,0.10064133020876193,822.4269999999997
BANK INTERNASIONAL INDONESIA,2016-11-01,2016,11,November,1466,206.826,67,66.173,1533,272.999,0.1410818553888131,0.9876567164179105,-140.653
BANK OF AMERICA,2016-11-01,2016,11,November,810566,95447.064,87339,55186.401,897905,150633.465,0.11775359933675975,0.631864356129564,-40260.663
BANK OF BAHARIEN AND KUWAIT,2016-11-01,2016,11,November,23323,2685.713,1789,651.728,25112,3337.4410000000003,0.11515298203490118,0.36429737283398544,-2033.9850000000001
BANK OF BARODA,2016-11-01,2016,11,November,1920320,155986.707,5645242,207154.363,7565562,363141.07,0.08122953830611565,0.03669539109217993,51167.65600000002
BANK OF CEYLON,2016-11-01,2016,11,November,1149,43.912,501,235.81,1650,279.722,0.03821758050478677,0.4706786427145709,191.898
BANK OF INDIA,2016-11-01,2016,11,November,1297380,82383.534,4683070,219610.09,5980450,301993.624,0.0634999260047172,0.04689447093466465,137226.55599999998
BANK OF MAHARASHTRA,2016-11-01,2016,11,November,604141,40606.076,1427911,74047.528,2032052,114653.604,0.06721291221751213,0.051857243203533,33441.452000000005
BANK OF NOVA SCOTIA,2016-11-01,2016,11,November,989,418.66,897,4183.917,1886,4602.577,0.4233164812942366,4.664344481605352,3765.2570000000005
BANK OF TOKYO AND MITSUBISHI,2016-11-01,2016,11,November,33332,10457.821,5404,9585.797,38736,20043.618000000002,0.31374717988719547,1.7738336417468543,-872.0239999999994
BARCLAYS BANK,2016-11-01,2016,11,November,29367,7041.988,2056,4759.694,31423,11801.682,0.23979255627064394,2.31502626459144,-2282.294
BASSEIN CATHOLIC CO-OP BANK,2016-11-01,2016,11,November,13129,1020.839,27903,1244.806,41032,2265.645,0.07775451291035114,0.04461190552987134,223.96699999999998
BHARAT CO-OP BANK,2016-11-01,2016,11,November,43570,3672.619,82016,4825.498,125586,8498.117,0.08429238007803534,0.05883605637924307,1152.8789999999995
BHARATIYA MAHILA BANK,2016-11-01,2016,11,November,7985,255.824,15614,619.303,23599,875.127,0.03203807138384471,0.039663314973741516,363.479
CANARA BANK,2016-11-01,2016,11,November,1673809,165508.864,3930925,215871.872,5604734,381380.73600000003,0.09888157131428975,0.05491630392337681,50363.008
CAPITAL LOCAL AREA BANK,2016-11-01,2016,11,November,11910,878.39,13892,2520.834,25802,3399.2239999999997,0.07375230898404701,0.1814594010941549,1642.444
CATHOLIC SYRIAN BANK,2016-11-01,2016,11,November,89772,5660.738,102896,6908.528,192668,12569.266,0.06305683286548144,0.06714088011195771,1247.79
CENTRAL BANK OF INDIA,2016-11-01,2016,11,November,1121858,91018.38,3801197,126136.466,4923055,217154.84600000002,0.08113181882198996,0.03318335408556831,35118.085999999996
CITI BANK,2016-11-01,2016,11,November,4435082,693944.384,1822568,440846.646,6257650,1134791.03,0.15646709215297483,0.24188213882829063,-253097.73799999995
CITIZEN CREDIT CO-OP BANK,2016-11-01,2016,11,November,7306,424.811,16921,968.974,24227,1393.785,0.05814549685190254,0.05726458247148514,544.163
CITY UNION BANK,2016-11-01,2016,11,November,592922,27017.677,412868,24086.598,1005790,51104.275,0.04556700038116312,0.05833970663747251,-2931.078999999998
COMMONWEALTH BANK OF AUSTRALIA,2016-11-01,2016,11,November,380,11.56,82,28.996,462,40.556,0.03042105263157895,0.35360975609756096,17.436
CORP BANK,2016-11-01,2016,11,November,1725483,94732.612,2137325,128282.513,3862808,223015.125,0.05490208364846248,0.060020124688571,33549.90100000001
COSMOS CO-OP BANK,2016-11-01,2016,11,November,66419,7226.187,126937,7702.196,193356,14928.383,0.10879698580225537,0.06067731236755241,476.009
CREDIT AGRICOLE CORP AND INVESTMENT BANK,2016-11-01,2016,11,November,1120,2010.238,219,3772.268,1339,5782.506,1.7948553571428572,17.22496803652968,1762.03
CREDIT SUISSE AG,2016-11-01,2016,11,November,60,152.799,28,1436.48,88,1589.279,2.54665,51.30285714285714,1283.681
CTBC BANK CO-OP,2016-11-01,2016,11,November,639,692.78,264,1013.933,903,1706.713,1.0841627543035994,3.840655303030303,321.153
DCB BANK,2016-11-01,2016,11,November,143860,10503.719,111518,12741.954,255378,23245.673,0.07301347838176003,0.1142591689234025,2238.2350000000006
DELHI STATE CO-OP OP BANK,2016-11-01,2016,11,November,1401,185.341,3623,434.793,5024,620.134,0.13229193433261957,0.12000910847364063,249.452
DENA BANK,2016-11-01,2016,11,November,268409,27865.115,829644,37359.517,1098053,65224.632,0.10381587428141383,0.04503078067219193,9494.401999999998
DEOGIRI NAGARI SAHAKARI BANK,2016-11-01,2016,11,November,1359,85.453,300,22.086,1659,107.539,0.06287932303164091,0.07361999999999999,-63.367000000000004
DEUTSCHE BANK,2016-11-01,2016,11,November,2674985,229424.082,523273,164505.342,3198258,393929.424,0.08576649289622185,0.31437766137369977,-64918.73999999999
DEVELOPMENT BANK OF SINGAPORE,2016-11-01,2016,11,November,298626,59523.51,38575,17283.247,337201,76806.757,0.19932460669867996,0.4480426960466623,-42240.263000000006
DHANLAXMI BANK,2016-11-01,2016,11,November,144462,5948.611,128050,7207.473,272512,13156.083999999999,0.041177686865750164,0.05628639593908629,1258.862
DICGC BANK,2016-11-01,2016,11,November,78,5.988,252,247.648,330,253.636,0.07676923076923077,0.9827301587301587,241.66
DOHA BANK QSC,2016-11-01,2016,11,November,22135,3434.42,708,821.939,22843,4256.359,0.1551578947368421,1.1609307909604518,-2612.481
DOMBIVLI NAGRIK SAHAKARI BANK,2016-11-01,2016,11,November,10960,939.646,27768,1695.022,38728,2634.6679999999997,0.08573412408759123,0.06104227888216652,755.376
EQUITAS SMALL FINANCE BANK,2016-11-01,2016,11,November,53,800.626,95,1.663,148,802.289,15.106150943396226,0.017505263157894736,-798.963
EXPORT IMPORT BANK OF INDIA,2016-11-01,2016,11,November,0,0.0,185,502.928,185,502.928,0.0,2.7185297297297297,502.928
FEDERAL BANK,2016-11-01,2016,11,November,1530834,87409.172,895074,56543.943,2425908,143953.115,0.057099053195839654,0.06317236675403375,-30865.229000000007
FIRSTRAND BANK,2016-11-01,2016,11,November,3532,606.779,1313,140.602,4845,747.381,0.17179473386183466,0.10708453922315309,-466.177
GOPINATH PATIL PARSIK JAN SAHA BANK,2016-11-01,2016,11,November,13217,1174.645,33734,1085.82,46951,2260.465,0.08887379889536204,0.03218770380032015,-88.82500000000005
GREATER BOMBAY CO-OP BANK,2016-11-01,2016,11,November,7841,512.146,22442,813.99,30283,1326.136,0.06531641372273944,0.036270831476695485,301.84400000000005
HDFC BANK,2016-11-01,2016,11,November,17020534,1139961.558,10381126,1189295.758,27401660,2329257.3159999996,0.06697566351325993,0.11456327165280529,49334.19999999995
HIMACHAL PRADESH STATE CO-OP,2016-11-01,2016,11,November,38509,961.958,19018,817.215,57527,1779.173,0.024980082578098625,0.042970606793563994,-144.74299999999994
HSBC BANK,2016-11-01,2016,11,November,1487300,222730.819,420536,163060.518,1907836,385791.337,0.14975513951455657,0.3877444927425952,-59670.30099999998
ICICI BANK,2016-11-01,2016,11,November,10903606,608164.491,8447951,699410.253,19351557,1307574.744,0.05577645514704035,0.08279051961830745,91245.76199999999
IDBI BANK,2016-11-01,2016,11,November,3225824,191245.243,2376129,272334.537,5601953,463579.78,0.05928570281577668,0.11461269022010169,81089.29400000002
IDFC BANK,2016-11-01,2016,11,November,23329,18090.113,22247,24938.783,45576,43028.896,0.7754345664194779,1.120995325212388,6848.669999999998
INDIAN BANK,2016-11-01,2016,11,November,878212,68912.33,2614358,86083.473,3492570,154995.803,0.07846890044772789,0.03292719398031945,17171.142999999996
INDIAN OVERSEAS BANK,2016-11-01,2016,11,November,1129071,82604.988,2248162,99738.255,3377233,182343.24300000002,0.0731619074442617,0.04436435408124504,17133.267000000007
INDUSIND BANK,2016-11-01,2016,11,November,1590185,116900.558,679557,94685.988,2269742,211586.546,0.07351381002839293,0.13933487257139576,-22214.570000000007
INDUSTRIAL AND CO-OP BANK OF CHINA,2016-11-01,2016,11,November,175,313.396,67,348.899,242,662.2950000000001,1.7908342857142858,5.20744776119403,35.502999999999986
INDUSTRIAL BANK OF KOREA,2016-11-01,2016,11,November,572,153.341,84,266.035,656,419.37600000000003,0.26807867132867136,3.1670833333333337,112.69400000000002
JALGAON JANATA SAHKARI BANK,2016-11-01,2016,11,November,6455,347.291,7113,444.737,13568,792.028,0.05380185902401239,0.06252453254604246,97.44600000000003
JALGAON PEOPLES CO-OP BANK,2016-11-01,2016,11,November,5049,388.176,5945,468.673,10994,856.8489999999999,0.0768817587641117,0.07883481917577796,80.49700000000001
JAMMU AND KASHMIR BANK,2016-11-01,2016,11,November,164790,13809.818,220832,18204.423,385622,32014.240999999998,0.08380252442502578,0.08243562074337052,4394.605
JANAKALYAN SAHAKARI BANK,2016-11-01,2016,11,November,7217,690.009,22411,1053.112,29628,1743.121,0.09560884023832618,0.04699085270626032,363.10300000000007
JANATA SAHAKARI BANK,2016-11-01,2016,11,November,27623,2131.129,42732,2727.311,70355,4858.4400000000005,0.07715052673496724,0.06382362164186091,596.1820000000002
JANSEVA SAHAKARI BANK BORIVILI,2016-11-01,2016,11,November,2682,361.828,4293,358.429,6975,720.257,0.13490976882923192,0.08349149778709526,-3.399000000000001
JANSEVA SAHAKARI BANK PUNE,2016-11-01,2016,11,November,7232,349.544,14624,518.949,21856,868.4929999999999,0.04833296460176991,0.03548611870897155,169.40499999999997
JP MORGAN BANK,2016-11-01,2016,11,November,321438,32456.811,8016,28851.935,329454,61308.746,0.10097378343568589,3.5992932884231537,-3604.876
KALLAPPANNA AWADE IJSB,2016-11-01,2016,11,November,6736,397.518,7620,460.4,14356,857.9179999999999,0.05901395486935867,0.060419947506561676,62.882000000000005
KALUPUR COMM CO-OP BANK,2016-11-01,2016,11,November,10738,1745.895,37092,2349.923,47830,4095.8179999999998,0.16259033339541815,0.06335390380675078,604.0279999999998
KALYAN JANATA SAHAKARI BANK,2016-11-01,2016,11,November,8002,712.807,21493,1022.201,29495,1735.008,0.08907860534866284,0.04755971711720095,309.394
KAPOLE BANK,2016-11-01,2016,11,November,1323,107.575,6141,212.543,7464,320.118,0.08131141345427059,0.03461048689138577,104.968
KARAD URBAN CO-OP BANK,2016-11-01,2016,11,November,9558,902.48,13692,818.966,23250,1721.446,0.09442142707679431,0.059813467718375694,-83.51400000000001
KARNATAKA BANK,2016-11-01,2016,11,November,335404,19189.757,721886,29157.162,1057290,48346.919,0.0572138585109301,0.040390258295631164,9967.404999999999
KARNATAKA STATE CO-OP APEX BANK,2016-11-01,2016,11,November,24963,1017.066,81491,3140.213,106454,4157.279,0.04074293955053479,0.03853447619982575,2123.147
KARNATAKA VIKAS GRAMEEN BANK,2016-11-01,2016,11,November,68617,4875.614,162433,5410.405,231050,10286.019,0.07105548187766879,0.03330853336452568,534.7910000000002
KARUR VYSYA BANK,2016-11-01,2016,11,November,637769,42572.368,845822,48824.323,1483591,91396.69099999999,0.06675201836401581,0.057724110983161936,6251.9549999999945
KOREA EXCHANGE BANK,2016-11-01,2016,11,November,156,64.277,287,302.59,443,366.86699999999996,0.4120320512820513,1.054320557491289,238.313
KOTAK MAHINDRA BANK,2016-11-01,2016,11,November,3324746,255930.519,1975134,238371.742,5299880,494302.261,0.07697746504545008,0.12068636457070761,-17558.777000000002
KURMANCHAL NAGAR SAHAKARI BANK,2016-11-01,2016,11,November,6778,572.531,6343,484.35,13121,1056.8809999999999,0.08446901740926527,0.0763597666719218,-88.18099999999993
KERALA GRAMIN BANK,2016-11-01,2016,11,November,61710,3040.72,133462,3937.303,195172,6978.022999999999,0.04927434775563117,0.029501303741889078,896.5830000000001
